year,weight,equivalized_disposable_income
2021,1150.979462,1617
2021,1123.682358,1940.301
2021,1052.427346,878
2021,844.7514277,2115.6635
2021,994.2884122,2137
2021,1007.110579,1706.9558
2021,1393.022774,4542.5
2021,1753.887111,1351.4795
2021,2698.371802,4469.4527
2021,1887.819915,2570.9407
2021,1878.482531,4401.7397
2021,1302.901479,4970
2021,1754.764822,2425
2021,1883.340134,8287.9986
2021,2237.975561,4833.5
2021,1134.279196,2073
2021,1153.93684,4029.5
2021,2210.078102,724.7845
2021,773.6793562,1418
2021,1509.86569,5333.5618
2021,686.7068378,78
2021,965.8021422,2401.1998
2021,980.5407522,1782.2803
2021,365.8598948,786
2021,944.2540895,529
2021,1646.712764,3719.2904
2021,3284.314386,2867
2021,2042.886703,2591.5464
2021,715.6137778,3367.5
2021,2042.650955,1687.1568
2021,1189.389471,2687.7129
2021,1636.065647,4477.5
2021,753.4451274,4545.9895
2021,1314.356154,4243.5245
2021,403.7377746,3226.2333
2021,2103.075161,9907.3306
2021,1981.921439,2222.4366
2021,809.8981777,1553.6496
2021,2217.981231,4193.295
2021,1379.75469,1290.4699
2021,860.8351349,1157
2021,806.8890123,764
2021,1363.001451,3735.4562
2021,977.9807007,2646.7007
2021,1814.958995,3140.2612
2021,1685.203778,1153.9983
2021,3450.035243,6903.1891
2021,2511.628405,3582.4584
2021,1000.279979,-88.3346
2021,1700.637762,2175.5
2021,2224.410642,4725.0346
2021,1091.537407,3869.9954
2021,1209.328691,3173.5
2021,1054.374492,1189.3536
2021,1278.127204,1533.4423
2021,849.4484346,6810
2021,1644.755924,4177.5869
2021,1689.549102,1136
2021,3350.283197,6176
2021,1462.219641,931
2021,1981.778686,2565.5
2021,1161.089627,8726
2021,1499.166054,714.1778
2021,1477.873398,1282
2021,1854.708568,3719.2904
2021,550.4888742,3125.412
2021,1616.746648,2830
2021,1894.399364,2409.5
2021,1206.279988,2275.87
2021,1013.299118,1536.543
2021,1846.614354,3778
2021,813.8965882,1637
2021,903.4261542,1652
2021,2218.327974,3924.2498
2021,1488.653572,1896.4604
2021,727.1094213,1343.5029
2021,1796.914488,4099.7643
2021,2428.297909,2043.5
2021,1621.727544,2831
2021,1814.78652,1425.5273
2021,2077.832901,2645.9963
